FRAME,NODE,NODE_X,NODE_Y,LABEL_X,LABEL_Y,USE
TOP,1,0.091,0.055,0.117,0.068,1
TOP,2,0.264,0.005,0.255,0.033,1
TOP,3,0.431,0.068,0.466,0.083,1
TOP,3,0.431,0.068,0.360,0.083,1
TOP,4,0.608,0.019,0.591,0.044,1
TOP,5,0.766,0.083,0.710,0.086,1
TOP,6,0.060,0.194,0.109,0.151,1
TOP,6,0.060,0.194,0.045,0.222,1
TOP,7,0.417,0.194,0.403,0.226,1
TOP,7,0.417,0.194,0.360,0.154,1
TOP,7,0.417,0.194,0.468,0.158,1
TOP,8,0.775,0.209,0.762,0.240,1
TOP,8,0.775,0.209,0.706,0.167,1
TOP,9,0.233,0.261,0.150,0.261,1
TOP,9,0.233,0.261,0.220,0.195,1
TOP,9,0.233,0.261,0.278,0.270,1
TOP,10,0.595,0.268,0.506,0.283,1
TOP,10,0.595,0.268,0.584,0.206,1
TOP,10,0.595,0.268,0.637,0.283,1
TOP,11,0.956,0.279,0.956,0.220,1
TOP,11,0.956,0.279,0.874,0.287,1
TOP,12,0.206,0.401,0.110,0.355,1
TOP,12,0.206,0.401,0.261,0.358,1
TOP,12,0.206,0.401,0.180,0.444,1
TOP,13,0.590,0.412,0.506,0.374,1
TOP,13,0.590,0.412,0.559,0.454,1
TOP,13,0.590,0.412,0.637,0.375,1
TOP,14,0.960,0.423,0.882,0.384,1
TOP,14,0.960,0.423,0.960,0.468,1
TOP,15,0.393,0.477,0.371,0.418,1
TOP,16,0.781,0.493,0.760,0.432,1
BOTTOM,6,0.233,0.509,0.210,0.540,1
BOTTOM,7,0.560,0.512,0.551,0.540,1
BOTTOM,8,0.897,0.521,0.881,0.548,1
BOTTOM,9,0.386,0.574,0.375,0.509,1
BOTTOM,9,0.386,0.574,0.321,0.583,1
BOTTOM,9,0.386,0.574,0.429,0.583,1
BOTTOM,10,0.729,0.575,0.713,0.513,1
BOTTOM,10,0.729,0.575,0.777,0.588,1
BOTTOM,10,0.729,0.575,0.656,0.587,0
BOTTOM,12,0.388,0.693,0.304,0.652,1
BOTTOM,12,0.388,0.693,0.422,0.652,1
BOTTOM,12,0.388,0.693,0.355,0.725,1
BOTTOM,13,0.739,0.698,0.659,0.658,1
BOTTOM,13,0.739,0.698,0.785,0.654,1
BOTTOM,13,0.739,0.698,0.715,0.733,1
BOTTOM,15,0.566,0.761,0.542,0.697,1
BOTTOM,15,0.566,0.761,0.481,0.772,1
BOTTOM,15,0.566,0.761,0.614,0.775,1
BOTTOM,16,0.932,0.760,0.912,0.697,1
BOTTOM,16,0.932,0.760,0.846,0.773,1
BOTTOM,17,0.054,0.574,0.081,0.574,1
BOTTOM,18,0.028,0.690,0.009,0.727,1
BOTTOM,18,0.028,0.690,0.071,0.651,1
BOTTOM,19,0.188,0.757,0.165,0.693,1
BOTTOM,19,0.188,0.757,0.244,0.766,1
BOTTOM,19,0.188,0.757,0.091,0.755,1
BOTTOM,20,0.185,0.898,0.228,0.864,1
BOTTOM,21,0.371,0.976,0.346,0.909,1
BOTTOM,22,0.575,0.902,0.489,0.859,1
BOTTOM,22,0.575,0.902,0.621,0.859,1
BOTTOM,22,0.575,0.902,0.549,0.942,1
BOTTOM,23,0.767,0.978,0.740,0.917,1
BOTTOM,24,0.950,0.900,0.848,0.863,1
